Pantitlán 4 Zaragoza Hangares Puebla Agrícola_Oriental 0 0
Zaragoza 2 Pantitlán GómezFarías 0 0 0 0
GómezFarías 2 Zaragoza Boulevard_Puerto_Aéreo 0 0 0 0
Boulevard_Puerto_Aéreo 2 GómezFarías Balbuena 0 0 0 0
Balbuena 2 Boulevard_Puerto_Aéreo Moctezuma 0 0 0 0
Moctezuma 2 Balbuena San_Lázaro 0 0 0 0
San_Lázaro 4 Moctezuma Candelaria Morelos Ricardo_Flores_Magón 0 0
Candelaria 4 San_Lázaro Merced Morelos Fray_Servando 0 0
Merced 2 Candelaria Pino_Suárez 0 0 0 0
Pino_Suárez 4 Merced Isabel_la_Católica Zócalo San_Antonio_Abad 0 0
Isabel_la_Católica 2 Pino_Suárez Salto_del_Agua 0 0 0 0
Salto_del_Agua 4 Isabel_la_Católica Balderas San_Juan_de_Letrán Doctores 0 0
Balderas 4 Salto_del_Agua Cuauhtémoc Juárez Niños_Héroes 0 0
Cuauhtémoc 2 Balderas Insurgentes 0 0 0 0
Insurgentes 2 Cuauhtémoc Sevilla 0 0 0 0
Sevilla 2 Insurgentes Chapultepec 0 0 0 0
Chapultepec 2 Sevilla Juanacatlán 0 0 0 0
Juanacatlán 2 Chapultepec Tacubaya 0 0 0 0
Tacubaya 5 Juanacatlán Observatorio Constituyentes San_Pedro_de_los_Pinos Patriotismo 0
Observatorio 1 Tacubaya 0 0 0 0 0
Cuatro_Caminos 1 Panteones 0 0 0 0 0
Panteones 2 Cuatro_Caminos Tacuba 0 0 0 0
Tacuba 4 Panteones Cuitláhuac Refinería San_Joaquín 0 0
Cuitláhuac 2 Tacuba Popotla 0 0 0 0
Popotla 2 Cuitláhuac Colegio_Militar 0 0 0 0
Colegio_Militar 2 Popotla Normal 0 0 0 0
Normal 2 Colegio_Militar San_Cosme 0 0 0 0
San_Cosme 2 Normal Revolución 0 0 0 0
Revolución 3 San_Cosme Hidalgo Hidalgo 0 0 0
Hidalgo 4 Revolución Bellas_Artes Guerrero Juárez 0 0
Bellas_Artes 4 Hidalgo Allende Garibaldi-Lagunilla San_Juan_de_Letrán 0 0
Allende 2 Bellas_Artes Zócalo 0 0 0 0
Zócalo 2 Allende Pino_Suárez 0 0 0 0
San_Antonio_Abad 2 Pino_Suárez Chabacano 0 0 0 0
Chabacano 6 San_Antonio_Abad Viaducto Obrera La_Viga Lázaro_Cárdenas Jamaica 
Viaducto 2 Chabacano Xola 0 0 0 0
Xola 2 Viaducto Villa_de_Cortés 0 0 0 0
Villa_de_Cortés 2 Xola Nativitas 0 0 0 0
Nativitas 2 Villa_de_Cortés Portales 0 0 0 0
Portales 2 Nativitas Ermita 0 0 0 0
Ermita 4 Portales General_Anaya Mexicaltzingo Eje_central 0 0
General_Anaya 2 Ermita Tasqueña 0 0 0 0
Tasqueña 1 General_Anaya 0 0 0 0 0
Indios_Verdes 1 Deportivo_18_de_Marzo 0 0 0 0 0
Deportivo_18_de_Marzo 4 Indios_Verdes Potrero Lindavista La_Villa-Basílica 0 0
Potrero 2 Deportivo_18_de_Marzo La_Raza 0 0 0 0
La_Raza 4 Potrero Tlatelolco Autobuses_del_Norte Misterios 0 0
Tlatelolco 2 La_Raza Guerrero 0 0 0 0
Guerrero 4 Tlatelolco Hidalgo Buenavista Garibaldi-Lagunilla 0 0
Juárez 2 Hidalgo Balderas 0 0 0 0
Niños_Héroes 2 Balderas Hospital_General 0 0 0 0
Hospital_General 2 Niños_Héroes Centro 0 0 0 0
Centro 2 Hospital_General Etiopía 0 0 0 0
Etiopía 2 Centro Eugenia 0 0 0 0
Eugenia 2 Etiopía División_del_Norte 0 0 0 0 
División_del_Norte 2 Eugenia Zapata 0 0 0 0
Zapata 4 División_del_Norte Coyoacán Parque_de_los_venados Hospital_20_de_Noviembre 0 0
Coyoacán 2 Zapata Viveros 0 0 0 0
Viveros 2 Coyoacán Miguel_Ángel_de_Quevedo 0 0 0 0
Miguel_Ángel_de_Quevedo 2 Viveros Copilco 0 0 0 0
Copilco 2 Miguel_Ángel_de_Quevedo Universidad 0 0 0 0
Universidad 1 Copilco 0 0 0 0 0
Martín_Carrera 2 Talismán La_Villa-Basílica 0 0 0 0
Talismán 2 Martín_Carrera Bondojito 0 0 0 0
Bondojito 2 Talismán Consulado 0 0 0 0
Consulado 4 Bondojito Canal_del_Norte Valle_Gómez Eduardo_Molina 0 0
Canal_del_Norte 2 Consulado Morelos 0 0 0 0
Morelos 4 Canal_del_Norte Candelaria Tepito San_Lázaro 0 0
Fray_Servando 2 Candelaria Jamaica 0 0 0 0
Jamaica 4 Fray_Servando Santa_Anita Chabacano Mixiuhca 0 0
Santa_Anita 3 Jamaica La_Viga Coyuya 0 0 0
Politécnico 1 Instituto_del_Petróleo 0 0 0 0 0
Instituto_del_Petróleo 4 Politécnico Autobuses_del_Norte Vallejo Lindavista 0 0
Autobuses_del_Norte 2 Instituto_del_Petróleo La_Raza 0 0 0 0
La_Raza 2 Autobuses_del_Norte Misterios 0 0 0 0
Misterios 2 La_Raza Valle_Gómez 0 0 0 0
Valle_Gómez 2 Misterios Consulado 0 0 0 0
Eduardo_Molina 2 Consulado Aragón 0 0 0 0
Aragón 2 Eduardo_Molina Oceanía 0 0 0 0
Oceanía 4 Aragón Terminal_Aérea Romero_Rubio Deportivo_Oceanía 0 0
Terminal_Aérea 2 Oceanía Hangares 0 0 0 0
Hangares 2 Terminal_Aérea Pantitlán 0 0 0 0
El_Rosario 2 Tezozómoc Aquiles_Serdán 0 0 0 0
Tezozómoc 2 El_Rosario UAM-Azcapotzalco 0 0 0 0
UAM-Azcapotzalco 2 Tezozómoc Ferrería/Arena_Ciudad_de_México 0 0 0 0
Ferrería/Arena_Ciudad_de_México 2 UAM-Azcapotzalco Norte_45 0 0 0 0
Norte_45 2 Ferrería/Arena_Ciudad_de_México Vallejo 0 0 0 0
Vallejo 2 Norte_45 Instituto_del_Petróleo 0 0 0 0
Lindavista 2 Instituto_del_Petróleo Deportivo_18_de_Marzo 0 0 0 0
La_Villa-Basílica 2 Deportivo_18_de_Marzo Martín_Carrera 0 0 0 0
Aquiles_Serdán 2 El_Rosario Camarones 0 0 0 0
Camarones 2 Aquiles_Serdán Refinería 0 0 0 0
Refinería 2 Tacuba Camarones 0 0 0 0
San_Joaquín 2 Tacuba Polanco 0 0 0 0
Polanco 2 San_Joaquín Auditorio 0 0 0 0
Auditorio 2 Polanco Constituyentes 0 0 0 0
Constituyentes 2 Auditorio Tacubaya 0 0 0 0
San_Pedro_de_los_Pinos 2 Tacubaya San_Antonio 0 0 0 0
San_Antonio 2 San_Pedro_de_los_Pinos Mixcoac 0 0 0 0
Mixcoac 3 San_Antonio Barranca_del_Muerto Insurgentes_Sur 0 0 0
Barranca_del_Muerto 1 Mixcoac 0 0 0 0 0
Garibaldi-Lagunilla 3 Bellas_Artes Guerrero Lagunilla 0 0 0
San_Juan_de_Letrán 2 Bellas_Artes Salto_del_Agua 0 0 0 0
Doctores 2 Salto_del_Agua Obrera 0 0 0 0
Obrera 2 Doctores Chabacano 0 0 0 0
La_Viga 1 Chabacano 0 0 0 0 0
Coyuya 2 Santa_Anita Iztacalco 0 0 0 0
Iztacalco 2 Coyuya Apatlaco 0 0 0 0
Apatlaco 2 Iztacalco Aculco 0 0 0 0
Aculco 2 Apatlaco Escuadrón_201 0 0 0 0
Escuadrón_201 2 Aculco Atlalilco 0 0 0 0
Atlalilco 4 Escuadrón_201 Iztapalapa Culhuacán Mexicaltzingo 0 0
Iztapalapa 2 Atlalilco Cerro_de_la_Estrella 0 0 0 0
Cerro_de_la_Estrella 2 Iztapalapa UAM-I 0 0 0 0
UAM-I 2 Cerro_de_la_Estrella Constitución_de_1917 0 0 0 0
Constitución_de_1917 1 UAM-I 0 0 0 0 0
Patriotismo 2 Tacubaya Chilpancingo 0 0 0 0
Chilpancingo 2 Patriotismo Centro_Médico 0 0 0 0
Centro_Médico 2 Chilpancingo Lázaro_Cárdenas 0 0 0 0
